latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
6.01338,100.64671,332.05,0.41,0.37,2022-01-01,0646,N,VIIRS,n,2,294.09,1.74,D,0
5.90629,100.65188,334.94,0.41,0.37,2022-01-01,0646,N,VIIRS,n,2,295.72,2.4,D,0
5.4577,100.54337,334.25,0.4,0.37,2022-01-01,0646,N,VIIRS,n,2,294.55,2.08,D,0
5.10785,100.48786,325.64,0.47,0.4,2022-01-02,0627,N,VIIRS,n,2,292.45,3.75,D,0
5.43114,100.6001,306.22,0.38,0.36,2022-01-03,1846,N,VIIRS,n,2,290.98,0.62,N,0
3.0187,114.06091,332.01,0.38,0.36,2022-01-04,0548,N,VIIRS,n,2,286.55,2.96,D,0
5.06472,100.96593,306.46,0.54,0.42,2022-01-04,1827,N,VIIRS,n,2,288.62,0.68,N,0
3.01928,113.35301,340.27,0.4,0.44,2022-01-05,0529,N,VIIRS,n,2,292.18,6.64,D,0
3.02027,113.35327,342.88,0.4,0.44,2022-01-05,0529,N,VIIRS,n,2,292.26,7.38,D,0
3.52259,113.31273,295.33,0.49,0.4,2022-01-05,1808,N,VIIRS,n,2,267.34,0.81,N,2
4.56822,100.88009,330.14,0.47,0.4,2022-01-06,0652,N,VIIRS,n,2,293.6,2.57,D,0
6.44084,100.37724,331.14,0.46,0.39,2022-01-06,0652,N,VIIRS,n,2,294.48,1.88,D,0
6.05423,100.81859,331.29,0.48,0.4,2022-01-06,0652,N,VIIRS,n,2,296.47,3.89,D,0
4.02011,103.34282,303.87,0.52,0.66,2022-01-06,1749,N,VIIRS,n,2,279.87,1.16,N,2
3.5454,113.35286,309.17,0.39,0.37,2022-01-06,1749,N,VIIRS,n,2,287.94,1.52,N,2
3.53307,113.3437,316.37,0.39,0.37,2022-01-06,1749,N,VIIRS,n,2,291.36,2.34,N,2
3.52405,113.31326,311.72,0.4,0.37,2022-01-06,1749,N,VIIRS,n,2,291.01,1.16,N,2
3.39514,113.28989,304.18,0.4,0.37,2022-01-06,1749,N,VIIRS,n,2,290.66,0.78,N,0
3.61183,113.66266,304.39,0.39,0.36,2022-01-06,1749,N,VIIRS,n,2,289.9,0.43,N,0
4.02179,103.34189,304.05,0.51,0.66,2022-01-06,1749,N,VIIRS,n,2,279.59,0.84,N,2
2.73843,102.39326,303.13,0.57,0.69,2022-01-06,1750,N,VIIRS,n,2,284.88,1.07,N,2
2.73938,102.39522,301.8,0.57,0.69,2022-01-06,1750,N,VIIRS,n,2,284.41,0.86,N,2
6.15266,100.57497,306.63,0.48,0.65,2022-01-06,1929,N,VIIRS,n,2,284.35,0.9,N,0
3.19871,113.42294,333.6,0.48,0.64,2022-01-07,0632,N,VIIRS,n,2,287.95,5.87,D,0
3.53654,113.34371,327.62,0.47,0.64,2022-01-07,0632,N,VIIRS,n,2,288.96,3.6,D,2
6.11857,100.67371,338.45,0.4,0.37,2022-01-07,0633,N,VIIRS,n,2,300.16,3.43,D,0
6.54723,100.3099,340.17,0.4,0.37,2022-01-07,0633,N,VIIRS,n,2,297.79,18.59,D,0
6.54667,100.30624,340.88,0.4,0.37,2022-01-07,0633,N,VIIRS,n,2,303.85,38.83,D,0
6.55063,100.30937,333.62,0.4,0.37,2022-01-07,0633,N,VIIRS,n,2,296.09,6.38,D,0
6.55007,100.30571,348.03,0.4,0.37,2022-01-07,0633,N,VIIRS,n,2,296.71,22.12,D,0
4.00398,103.34508,337.34,0.39,0.36,2022-01-07,0633,N,VIIRS,n,2,298.67,4.98,D,2
4.56762,103.45264,332.09,0.39,0.36,2022-01-07,0633,N,VIIRS,n,2,294.87,2.54,D,2
5.53744,100.3739,346.77,0.41,0.37,2022-01-07,0633,N,VIIRS,n,2,297.49,4.99,D,0
4.57906,103.43858,298.46,0.38,0.59,2022-01-07,1911,N,VIIRS,n,2,282.93,2.43,N,0
4.57714,103.44247,335.96,0.38,0.59,2022-01-07,1911,N,VIIRS,n,2,279.18,1.4,N,2
4.57772,103.43906,297.88,0.38,0.59,2022-01-07,1911,N,VIIRS,n,2,281.04,1.4,N,0
4.57846,103.442,339.12,0.38,0.59,2022-01-07,1911,N,VIIRS,n,2,281.67,2.43,N,0
6.15342,100.57667,299.81,0.46,0.47,2022-01-07,1911,N,VIIRS,n,2,274.09,2.46,N,0
3.10224,101.39967,325.77,0.46,0.47,2022-01-08,0613,N,VIIRS,n,2,294.59,5.36,D,0
3.42273,101.182,342.12,0.47,0.48,2022-01-08,0614,N,VIIRS,n,2,268.36,6.6,D,0
5.05229,100.45655,340.46,0.49,0.49,2022-01-08,0614,N,VIIRS,n,2,292.81,5.91,D,0
5.05155,100.4521,327.48,0.49,0.49,2022-01-08,0614,N,VIIRS,n,2,292.67,5.91,D,0
6.26084,100.65548,307.27,0.4,0.37,2022-01-08,1852,N,VIIRS,n,2,292.49,0.66,N,0
5.55562,100.80439,306.81,0.41,0.37,2022-01-08,1852,N,VIIRS,n,2,291.24,1,N,0
4.56986,103.45477,311.7,0.55,0.43,2022-01-08,1852,N,VIIRS,n,2,291.01,1.47,N,2
2.33216,111.83307,329.44,0.39,0.36,2022-01-09,0554,N,VIIRS,n,2,296.98,1.13,D,0
2.33549,111.83258,328.17,0.39,0.36,2022-01-09,0554,N,VIIRS,l,2,299.82,2.87,D,0
3.28998,113.09442,330.49,0.39,0.36,2022-01-09,0554,N,VIIRS,n,2,298.29,3.23,D,2
3.28945,113.09092,338.39,0.39,0.36,2022-01-09,0554,N,VIIRS,n,2,299.43,6.34,D,2
4.03094,113.92446,329.88,0.41,0.37,2022-01-09,0554,N,VIIRS,n,2,294.23,3.16,D,0
4.69019,118.23569,341.21,0.48,0.48,2022-01-09,0554,N,VIIRS,n,2,286.02,5.66,D,0
4.59676,100.89546,332.49,0.49,0.65,2022-01-09,0555,N,VIIRS,n,2,290.69,6.03,D,0
4.56931,103.45023,341.04,0.33,0.55,2022-01-09,0555,N,VIIRS,n,2,293.73,2.69,D,2
6.20325,116.27135,335.2,0.56,0.43,2022-01-09,0555,N,VIIRS,n,2,296.3,3.13,D,0
4.62602,103.33338,299.39,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,282.44,0.21,N,0
4.5772,103.44966,316.78,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,283.7,1.31,N,2
4.57389,103.44914,324.23,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,284.17,2.1,N,2
4.56671,103.45157,309.06,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,285.18,0.9,N,2
4.56393,103.44759,308.85,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,284.73,0.8,N,2
4.28303,103.42879,304.62,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,289.84,0.72,N,0
4.01929,103.34121,310.62,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,293.14,1.29,N,2
4.00548,103.3426,313.02,0.38,0.36,2022-01-09,1833,N,VIIRS,n,2,293.47,1.38,N,2
2.7402,102.39278,303.81,0.39,0.36,2022-01-09,1834,N,VIIRS,n,2,288.81,0.64,N,2
2.78967,101.63149,305.58,0.4,0.37,2022-01-09,1834,N,VIIRS,n,2,287.91,0.74,N,0
2.2641,102.12885,305.04,0.39,0.36,2022-01-09,1834,N,VIIRS,n,2,290.24,1.16,N,2
3.97104,113.77645,332.73,0.46,0.39,2022-01-10,0536,N,VIIRS,n,2,290.81,4.17,D,0
4.01154,113.87046,330.68,0.45,0.39,2022-01-10,0536,N,VIIRS,n,2,292.56,3.93,D,0
4.17115,114.10836,337.7,0.44,0.38,2022-01-10,0536,N,VIIRS,n,2,290.66,5.63,D,0
4.17529,114.11176,334.49,0.44,0.38,2022-01-10,0536,N,VIIRS,n,2,290.12,5.16,D,0
4.17468,114.10782,337.72,0.44,0.38,2022-01-10,0536,N,VIIRS,n,2,291.2,5.63,D,0
5.01461,115.50037,338.36,0.39,0.36,2022-01-10,0536,N,VIIRS,n,2,297.13,6.62,D,0
6.1091,116.1994,326.94,0.38,0.36,2022-01-10,0536,N,VIIRS,l,2,301.24,3.24,D,0
6.33625,116.56094,335.82,0.38,0.36,2022-01-10,0536,N,VIIRS,n,2,301.19,3.66,D,0
4.57559,103.44934,310.14,0.39,0.44,2022-01-10,1814,N,VIIRS,n,2,283.09,1.34,N,2
3.53355,113.31042,305.37,0.4,0.44,2022-01-10,1814,N,VIIRS,n,2,290.61,0.93,N,0
3.52482,113.31268,305.8,0.4,0.44,2022-01-10,1814,N,VIIRS,n,2,290.59,1.25,N,2
3.39562,113.28826,305.07,0.4,0.44,2022-01-10,1814,N,VIIRS,n,2,287.58,0.72,N,0
3.29021,113.09383,323.8,0.39,0.44,2022-01-10,1814,N,VIIRS,n,2,288.89,1.59,N,2
3.29076,113.09035,306.42,0.39,0.44,2022-01-10,1814,N,VIIRS,n,2,286.76,1.59,N,2
