latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
1.30941,103.6851,308.37,0.39,0.36,2018-02-15,1833,N,VIIRS,n,2,295.89,1.92,N,0
1.30904,103.68587,305.48,0.35,0.57,2018-02-17,1755,N,VIIRS,n,2,289.32,1,N,2
1.3087,103.6861,308.01,0.42,0.38,2018-03-08,1839,N,VIIRS,n,2,293.04,1.69,N,2
1.31016,103.68552,306.86,0.42,0.45,2018-03-18,1852,N,VIIRS,n,2,291.26,1.45,N,0
1.30928,103.68583,306.12,0.39,0.36,2018-03-19,1833,N,VIIRS,n,2,287.51,1.17,N,2
1.31101,103.70289,304.58,0.43,0.38,2018-04-10,1821,N,VIIRS,n,2,283.89,0.55,N,0
1.30928,103.68639,307.04,0.34,0.56,2018-04-29,1905,N,VIIRS,n,2,288.12,1.57,N,2
1.30803,103.68595,306.83,0.34,0.56,2018-04-29,1905,N,VIIRS,n,2,287.99,1.88,N,2
1.30737,103.68609,315.23,0.43,0.46,2018-05-02,1808,N,VIIRS,n,2,292.74,3.27,N,2
1.3072,103.68466,306.61,0.35,0.57,2018-05-08,1756,N,VIIRS,n,2,291.7,2.61,N,2
1.31036,103.68622,299.74,0.39,0.36,2018-06-07,1833,N,VIIRS,n,2,280.45,0.73,N,2
1.30703,103.6857,307.68,0.39,0.36,2018-06-07,1833,N,VIIRS,n,2,283.4,0.73,N,2
1.30774,103.68549,308.15,0.39,0.36,2018-07-09,1833,N,VIIRS,n,2,284.92,1.52,N,2
1.30833,103.68616,310.14,0.39,0.36,2018-07-20,1827,N,VIIRS,n,2,294.95,1.94,N,2
1.30751,103.6852,307.94,0.39,0.36,2018-07-25,1833,N,VIIRS,n,2,293.99,1.54,N,2
1.30859,103.68608,305.99,0.36,0.57,2018-07-27,1756,N,VIIRS,n,2,290.27,1.53,N,2
1.31024,103.70234,299.47,0.34,0.56,2018-08-03,1905,N,VIIRS,n,2,281.46,0.76,N,0
1.3379,103.7075,325.94,0.76,0.77,2018-08-27,0535,N,VIIRS,n,2,280.02,3.3,D,0
1.30738,103.68509,303.37,0.45,0.63,2018-09-08,1750,N,VIIRS,n,2,284.85,1.07,N,2
1.30968,103.68595,303.28,0.44,0.62,2018-09-09,1911,N,VIIRS,n,2,285.76,1.24,N,2
1.30925,103.6847,307.2,0.52,0.41,2018-09-12,1815,N,VIIRS,n,2,292.67,1.97,N,2
1.30887,103.68394,306.48,0.35,0.57,2018-10-15,1756,N,VIIRS,n,2,289.6,1.44,N,2
1.30833,103.68567,310.34,0.43,0.38,2018-10-19,1821,N,VIIRS,n,2,293.54,4.19,N,2
1.30716,103.68581,316.85,0.39,0.36,2018-10-24,1827,N,VIIRS,n,2,293.17,2.18,N,2
1.30968,103.68901,296.22,0.45,0.63,2018-11-28,1911,N,VIIRS,n,2,268.67,0.4,N,0
1.30932,103.687,296.08,0.44,0.63,2018-11-28,1911,N,VIIRS,n,2,269.87,0.59,N,2
1.3101,103.70151,313.98,0.43,0.38,2018-12-05,1840,N,VIIRS,n,2,286.09,1.45,N,0
1.30905,103.68555,305.08,0.43,0.38,2018-12-05,1840,N,VIIRS,n,2,287.01,1.29,N,2
