latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
3.53627,113.34505,329.17,0.33,0.55,2024-01-01,0516,N,VIIRS,n,2,286.75,3.22,D,2
3.99617,103.1384,302.6,0.42,0.61,2024-01-01,1755,N,VIIRS,n,2,287.7,0.69,N,2
1.46236,103.87804,299.52,0.34,0.56,2024-01-01,1756,N,VIIRS,n,2,277.43,0.84,N,0
2.74126,102.39205,298.97,0.45,0.63,2024-01-01,1756,N,VIIRS,n,2,279.61,0.69,N,0
1.54208,103.46129,334.2,0.41,0.37,2024-01-02,0638,N,VIIRS,n,2,294.21,5.1,D,0
1.54088,103.46102,334.49,0.41,0.37,2024-01-02,0638,N,VIIRS,n,2,294.49,5.57,D,0
6.06843,100.77431,333.72,0.38,0.36,2024-01-02,0639,N,VIIRS,n,2,298.8,2.97,D,0
6.01775,100.82095,339.29,0.38,0.36,2024-01-02,0639,N,VIIRS,n,2,295.35,3.95,D,0
3.27808,113.07207,313.82,0.55,0.43,2024-01-02,1736,N,VIIRS,n,2,280.4,3.37,N,2
4.38616,101.09165,301.64,0.34,0.56,2024-01-02,1917,N,VIIRS,n,2,286.14,1.02,N,0
4.77017,101.11263,303.97,0.33,0.55,2024-01-02,1917,N,VIIRS,n,2,289.02,0.67,N,0
3.99782,103.13863,303.85,0.47,0.64,2024-01-02,1917,N,VIIRS,n,2,285,1.15,N,0
3.28763,113.08877,333.8,0.55,0.51,2024-01-03,0619,N,VIIRS,n,2,290.56,4.81,D,2
3.28692,113.08387,330.07,0.55,0.51,2024-01-03,0619,N,VIIRS,n,2,292.22,4.81,D,2
4.57621,103.44907,331.46,0.42,0.38,2024-01-03,0620,N,VIIRS,n,2,295.88,2.41,D,2
3.52595,113.314,297.4,0.37,0.58,2024-01-03,1718,N,VIIRS,n,2,268.16,0.88,N,2
4.66315,103.36549,313.46,0.45,0.47,2024-01-03,1858,N,VIIRS,n,2,287.18,2.01,N,2
4.51313,101.42656,295.39,0.52,0.41,2024-01-03,1858,N,VIIRS,n,2,284.51,0.46,N,0
2.73975,102.39406,303.33,0.42,0.45,2024-01-03,1859,N,VIIRS,n,2,278.72,0.89,N,2
3.53468,113.34406,308.54,0.51,0.49,2024-01-05,1820,N,VIIRS,n,2,287.13,1.84,N,2
1.37915,104.15912,307.55,0.41,0.37,2024-01-05,1821,N,VIIRS,n,2,283.56,1.75,N,2
1.37835,104.15849,317.01,0.42,0.37,2024-01-05,1821,N,VIIRS,n,2,283.99,1.29,N,2
2.53415,101.81387,331.19,0.55,0.43,2024-01-05,1821,N,VIIRS,n,2,280.89,4.31,N,2
3.54426,113.35262,298.06,0.42,0.37,2024-01-06,1802,N,VIIRS,n,2,259.01,1.78,N,2
4.54043,114.12061,307.89,0.42,0.38,2024-01-07,1742,N,VIIRS,n,2,287,1.02,N,2
1.37571,104.16223,302.19,0.77,0.78,2024-01-07,1924,N,VIIRS,n,2,267.6,2.07,N,2
3.2795,113.07115,308.38,0.62,0.72,2024-01-09,1705,N,VIIRS,n,2,276.14,2.32,N,2
3.28849,113.08202,309.41,0.62,0.72,2024-01-09,1705,N,VIIRS,n,2,278.21,2.01,N,2
3.28178,113.08136,299.73,0.62,0.72,2024-01-09,1705,N,VIIRS,n,2,277.36,2.01,N,2
3.29117,113.08412,302.08,0.62,0.72,2024-01-09,1705,N,VIIRS,n,2,278.46,2.04,N,2
3.28536,113.07748,299.15,0.62,0.72,2024-01-09,1705,N,VIIRS,n,2,277.29,2.22,N,2
