latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
3.28733,113.08218,342.97,0.44,0.63,2020-01-01,0509,N,VIIRS,n,2,289,6.63,D,2
3.17419,101.40169,330.28,0.47,0.4,2020-01-01,0650,N,VIIRS,n,2,297.04,1.75,D,0
3.61682,102.86486,343.6,0.39,0.44,2020-01-01,0650,N,VIIRS,n,2,299.9,48.44,D,0
3.62034,102.86076,337.58,0.39,0.44,2020-01-01,0650,N,VIIRS,n,2,293.15,48.44,D,0
5.05889,100.46005,336,0.45,0.39,2020-01-01,0651,N,VIIRS,n,2,299.89,4.82,D,0
6.27541,100.44876,314.05,0.46,0.64,2020-01-01,1928,N,VIIRS,n,2,289.11,1.33,N,0
5.96188,100.53807,306.99,0.47,0.64,2020-01-01,1928,N,VIIRS,n,2,286.79,0.58,N,0
6.2747,100.45277,311.72,0.46,0.64,2020-01-01,1928,N,VIIRS,n,2,289.1,1.33,N,0
3.23612,101.44329,342.09,0.4,0.37,2020-01-02,0631,N,VIIRS,n,2,293.85,3.91,D,0
3.1926,101.57433,331.02,0.4,0.37,2020-01-02,0631,N,VIIRS,l,2,301.54,3.93,D,0
3.05838,101.51508,330.85,0.4,0.37,2020-01-02,0631,N,VIIRS,l,2,303.09,4.47,D,0
3.88321,101.31782,342.32,0.4,0.37,2020-01-02,0631,N,VIIRS,n,2,294.44,8.81,D,0
3.88375,101.32137,335.43,0.4,0.37,2020-01-02,0631,N,VIIRS,n,2,293.69,7.85,D,0
3.31398,101.59186,331.27,0.39,0.37,2020-01-02,0631,N,VIIRS,l,2,303.48,3.94,D,0
6.1587,102.13734,332.72,0.38,0.36,2020-01-02,0632,N,VIIRS,n,2,295.56,1.48,D,0
6.30867,100.68459,332.7,0.4,0.37,2020-01-02,0632,N,VIIRS,n,2,296.49,2.65,D,0
5.54035,100.68992,308.58,0.47,0.48,2020-01-02,1910,N,VIIRS,n,2,284.51,1.43,N,0
3.56036,102.07414,302.8,0.62,0.54,2020-01-02,1910,N,VIIRS,n,2,283.5,1.38,N,0
2.84427,101.94646,325.06,0.63,0.54,2020-01-02,1910,N,VIIRS,n,2,283.12,4.28,N,0
2.2009,102.66359,299.13,0.36,0.57,2020-01-02,1910,N,VIIRS,n,2,281.07,0.29,N,0
2.26744,102.12714,317.89,0.33,0.55,2020-01-02,1910,N,VIIRS,n,2,287.24,2.34,N,2
1.37763,104.16108,302.34,0.47,0.64,2020-01-02,1911,N,VIIRS,n,2,255.66,2.88,N,0
1.37679,104.15859,338.78,0.5,0.41,2020-01-03,0612,N,VIIRS,n,2,296.72,10.38,D,0
1.37729,104.16051,347.48,0.5,0.41,2020-01-03,0612,N,VIIRS,n,2,295.11,10.02,D,0
1.89604,104.10062,332.79,0.5,0.41,2020-01-03,0612,N,VIIRS,n,2,295.26,7.68,D,0
2.01592,102.78684,341.26,0.39,0.44,2020-01-03,0612,N,VIIRS,n,2,293.75,11.34,D,0
5.14241,100.43773,326.89,0.5,0.49,2020-01-03,0613,N,VIIRS,n,2,292.84,2.92,D,0
4.41173,100.60443,324.01,0.41,0.37,2020-01-03,1851,N,VIIRS,n,2,278.16,1.95,N,0
6.50707,100.40798,306.53,0.39,0.36,2020-01-03,1851,N,VIIRS,n,2,292.72,0.44,N,0
4.41117,100.60796,330.05,0.41,0.37,2020-01-03,1851,N,VIIRS,n,2,279.03,1.92,N,0
4.40834,100.60381,299.2,0.41,0.37,2020-01-03,1851,N,VIIRS,n,2,275.84,1.95,N,0
4.40778,100.60732,318.02,0.41,0.37,2020-01-03,1851,N,VIIRS,n,2,277.09,1.92,N,0
3.5616,102.07584,331,0.47,0.4,2020-01-03,1851,N,VIIRS,n,2,291.58,3.86,N,0
3.5623,102.07159,306.69,0.47,0.4,2020-01-03,1851,N,VIIRS,n,2,290.96,2.29,N,0
3.55657,102.08372,302.69,0.47,0.4,2020-01-03,1851,N,VIIRS,n,2,290.85,0.49,N,0
3.55764,102.0807,303.2,0.47,0.4,2020-01-03,1851,N,VIIRS,n,2,290.87,1.01,N,0
2.8438,101.94634,308.02,0.47,0.4,2020-01-03,1851,N,VIIRS,n,2,292.15,1.11,N,0
2.2662,102.12577,313.92,0.49,0.4,2020-01-03,1852,N,VIIRS,n,2,292.9,1.55,N,0
5.93345,100.56133,354.3,0.5,0.66,2020-01-04,0554,N,VIIRS,n,2,292.6,9.27,D,0
4.01477,101.16698,331.11,0.49,0.65,2020-01-04,0554,N,VIIRS,n,2,289.41,3.6,D,0
4.01657,101.16785,328.2,0.49,0.65,2020-01-04,0554,N,VIIRS,n,2,288.81,2.11,D,0
5.5248,100.85525,327.06,0.49,0.65,2020-01-04,0554,N,VIIRS,n,2,290.83,4.25,D,0
5.93312,100.56041,367,0.5,0.66,2020-01-04,0554,N,VIIRS,h,2,293.22,7.63,D,0
6.67519,100.23502,332.4,0.51,0.66,2020-01-04,0555,N,VIIRS,n,2,295.31,4.3,D,0
3.56111,102.07095,309.82,0.4,0.37,2020-01-04,1832,N,VIIRS,n,2,292.25,1.18,N,0
3.3853,102.68556,310.1,0.39,0.36,2020-01-04,1832,N,VIIRS,n,2,292.85,1.22,N,0
3.56055,102.07455,321.11,0.4,0.37,2020-01-04,1832,N,VIIRS,n,2,292.7,1.67,N,0
4.29704,100.65897,304.52,0.46,0.39,2020-01-04,1832,N,VIIRS,n,2,291.26,2.39,N,0
3.9858,103.36951,311.85,0.38,0.36,2020-01-04,1832,N,VIIRS,n,2,291.52,0.92,N,0
4.01982,103.34283,308.71,0.38,0.36,2020-01-04,1832,N,VIIRS,n,2,293.11,0.68,N,2
4.02314,103.34335,305.33,0.38,0.36,2020-01-04,1832,N,VIIRS,n,2,291.97,0.68,N,2
5.1886,102.19873,302.17,0.41,0.37,2020-01-04,1832,N,VIIRS,n,2,291.25,0.37,N,0
1.53623,103.75471,323.82,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,293.5,1.93,N,0
1.37827,104.15728,323.27,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,295.21,9.42,N,0
1.37772,104.16081,344.06,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,298.64,9.42,N,0
1.37547,104.15321,337.51,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,295.18,13.25,N,0
1.37491,104.15675,325.03,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,294.42,9.42,N,0
1.37156,104.15621,306.27,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,293.94,0.97,N,0
1.35365,104.16068,307.12,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,293.59,0.93,N,0
2.26476,102.12425,316.77,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,294.56,1.31,N,3
2.26421,102.1278,309.81,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,293.97,1.31,N,2
1.70959,103.63927,329.52,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,293.21,1.92,N,2
1.70627,103.63876,305.71,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,292.44,1.92,N,2
2.73825,102.39211,306.22,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,292.68,1.04,N,2
1.37882,104.15376,335.02,0.39,0.36,2020-01-04,1833,N,VIIRS,n,2,296.06,13.25,N,0
5.38241,115.46706,346.45,0.39,0.36,2020-01-05,0535,N,VIIRS,n,2,296.77,14.22,D,0
5.94987,116.14777,330.01,0.38,0.36,2020-01-05,0535,N,VIIRS,n,2,291.91,1.68,D,0
5.38576,115.46656,345.15,0.39,0.36,2020-01-05,0535,N,VIIRS,n,2,297.01,14.22,D,0
5.38685,115.47364,335.85,0.39,0.36,2020-01-05,0535,N,VIIRS,n,2,295.66,11.5,D,0
5.38739,115.47719,332.51,0.39,0.36,2020-01-05,0535,N,VIIRS,n,2,295.59,4.91,D,0
