latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
1.36978,103.9682,308.46,0.39,0.36,2022-01-20,1827,N,VIIRS,n,2,291.82,0.82,N,0
1.41745,103.7506,331.6,0.42,0.38,2022-04-02,0638,N,VIIRS,l,2,302.57,8.22,D,0
1.30725,103.68671,343.29,0.53,0.42,2022-11-24,0613,N,VIIRS,n,2,298.23,10.1,D,0
